Job Title,Company,Location,Salary,Description,Link
Data Analyst,Predictive Strategies Inc,Not Available,"$85,000 a year -  Full-time","Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in Tableau?YesNoEducationDo you have a Bachelor's degree?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.Pay$85,000 a yearJob typeFull-time&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job description401(k)401(k) matchingDental insuranceHealth insurancePaid time offParental leaveVision insurance&nbsp;Full job description
Benefits:

401(k)
401(k) matching
Competitive salary
Dental insurance
Health insurance
Paid time off
Parental leave
Vision insurance
 As a Data Analyst, you will be responsible for bridging the gap between business needs and technical solutions. The ideal candidate will have a strong technical background, excellent analytical skills, and the ability to communicate effectively with both technical and non-technical stakeholders. Expertise in Microsoft Transact SQL is important and will play a crucial role in database-related tasks, data analysis, and ensuring the efficiency and accuracy of system implementations. You will work closely with stakeholders to understand business requirements, analyze processes, and design technical solutions to meet those needs.  Key Responsibilities:

Translate business requirements into technical specifications and user stories, ensuring alignment with overall business objectives.
Document technical requirements for complex business processes
Perform pre-deployment quality assurance
Collaborate with business stakeholders to gather, analyze, and document business requirements
Write queries using Microsoft Transact SQL
Create and maintain detailed documentation, including requirements documents, process flows, and technical design documents.
Facilitate meetings and workshops with stakeholders to elicit requirements, discuss technical solutions, and gather feedback.
Work closely with software developers, architects, and other technical teams to design and implement solutions that meet business needs.
Perform data analysis and modeling to support business decision-making and identify opportunities for process improvement.
Ensure that technical solutions align with industry best practices, standards, and regulatory requirements.
Qualifications: Bachelor’s degree in computer science, Information Systems, Business Administration, or related field. 5+ years of experience as business analyst with at least 2 years of experience SQL Prior experience writing queries using Microsoft Transact SQL Prior experience building reports in Tableau Strong record of achievement, solid analytical ability, and an entrepreneurial hands-on approach to work Able to work in fast pace continuously evolving environment and ready to take up uphill challenges Experience with requirements management tools, such as JIRA, Confluence, or similar.
This is a remote position.
&nbsp;",
Data Analyst,Disney Entertainment & ESPN Technology,"Santa Monica, CA","$93,400 - $131,300 a year","Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in Tableau?YesNoEducationDo you have a Bachelor's degree?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.Pay$93,400 - $131,300 a year&nbsp;LocationSanta Monica, CA&nbsp;Full job description
Disney Entertainment & ESPN Technology
On any given day at Disney Entertainment & ESPN Technology, we’re reimagining ways to create magical viewing experiences for the world’s most beloved stories while also transforming Disney’s media business for the future. Whether that’s evolving our streaming and digital products in new and immersive ways, powering worldwide advertising and distribution to maximize flexibility and efficiency, or delivering Disney’s unmatched entertainment and sports content, every day is a moment to make a difference to partners and to hundreds of millions of people around the world.

 A few reasons why we think you’d love working for Disney Entertainment & ESPN Technology

 Building the future of Disney’s media business: DE&E Technologists are designing and building the infrastructure that will power Disney’s media, advertising, and distribution businesses for years to come.
 Reach & Scale: The products and platforms this group builds and operates delight millions of consumers every minute of every day – from Disney+ and Hulu, to ABC News and Entertainment, to ESPN and ESPN+, and much more.
 Innovation: We develop and execute groundbreaking products and techniques that shape industry norms and enhance how audiences experience sports, entertainment & news.


 SUMMARY
As a Data Analyst, you will be responsible for assisting the Digital Ad Sales Business Intelligence Product group, within the DEE Technology team – working with a high performing and growing team to help business partners drive decisions with data. We are looking for an experienced and curious data analyst who will support the Ad Platform organization - uncovering relationships, confirming hypotheses, and providing findings/recommendations through exploration and analysis. This is an exciting opportunity for someone that is looking to work and spearhead monumental change across the Disney Ad Sales organization and ultimately grow into a product role within the team.

 Responsibilities

Use internal and external analytics tools, SQL, and to access and analyze data
Conduct deep dives to diagnose business challenges, drivers of performance, and resulting issues/opportunities to grow Disney’s advertising product lines and business
Build data visualizations and cross-functional enterprise reports that align to client program objectives and various audiences
Provide regular support to internal users; act as a company expert for Microstrategy/BI Dashboard usage
Partner with Ad Product teams to define and automate routine analysis and reporting to track and manage performance
Document and communicate results of analysis with product team to support future enhancements and initiatives within the Digital BI Program.
Collaborates with other product managers to help define requirements for business intelligence products to meet business needs.
Evaluate business processes, anticipate upcoming priorities, un-cover areas for improvement and help develop/implement solutions.
Advocates for business needs with product and engineering partners, ensuring products and their features are clearly understood and documented


 Skills & Experience

Bachelor's degree or equivalent work experience. Preferred disciplines: Mathematics, Computer Science, Information Systems, Business Management, Economics
Minimum of 3 years of experience in a data analysis or in management consulting, demonstrating strong analytical skills
Ability to read/write complex SQL queries to analyze data
Understanding of data warehouse concepts, data modelling, and database schemas
Experience with various business intelligence tools such as Microstrategy, Tableau etc.
Strong written documentation and presentation skills, using the Microsoft Office suite of tools (i.e., Excel, Word, PowerPoint, etc.)
Experience with work management and documentation tools, preferably Jira, and Confluence
 The hiring range for this position in New York, NY is $98,000 to $131,300 per year and in Santa Monica, CA is $93,400 to $125,200 per year. The base pay actually offered will take into account internal equity and also may vary depending on the candidate’s geographic region, job-related knowledge, skills, and experience among other factors. A bonus and/or long-term incentive units may be provided as part of the compensation package, in addition to the full range of medical, financial, and/or other benefits, dependent on the level and position offered.
&nbsp;",
Cryptographic Vulnerability Analyst,ManTech,"Linthicum Heights, MD 21090",Full-time,"Profile insightsFind out how your skills align with the job descriptionLicensesDo you have a valid TS/SCI with Polygraph license?YesNoSkillsDo you have experience in Cybersecurity?YesNoEducationDo you have a Master's degree?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationLinthicum Heights, MD 21090&nbsp;BenefitsPulled from the full job descriptionOpportunities for advancement&nbsp;Full job description
Secure our Nation, Ignite your Future

Become an integral part of a diverse team while working at an Industry Leading Organization, where our employees come first. At ManTech International Corporation, you’ll help protect our national security while working on innovative projects that offer opportunities for advancement.

Currently, ManTech is seeking a motivated, career and customer-oriented Cryptographic Vulnerability Analyst to join our team in the Linthicum location and will be part of a team that provides Cybersecurity Analysis and Cryptographic Engineering technical expertise.

 Responsibilities include, but are not limited to:

Identify vulnerabilities and cybersecurity threats to program, functions, products, applications and systems
Leverage HUMINT, SIGINT, GEOINT, OSINT, and other information to assess vulnerabilities and conduct security evaluation of hardware and software components, architectures, algorithms and protocols
Analyze and characterize identified vulnerabilities and threats
Relate identified vulnerabilities and threats and the effects on the operations and missions supported by those systems
Compare and contrast various cryptographic attack techniques and developing operationally effective countermeasures
Provide formal and informal reports, briefings, and perspectives of actual and potential attacks against the systems, technologies, applications, operations, or missions being studied
Collaborate with threat analysts to conduct comprehensive, regular threat assessments of network cryptographic devices, components, and technologies
Use threat analysis and technical knowledge to provide security guidance and develop mitigations to threats and vulnerabilities
Team with threat analysts to conduct comprehensive, regular threat assessments of network cryptographic devices, components, and technologies
Create and maintain documentation on technical information and document research processes, analyses and/or the results
Write logical and accurate technical reports to communicate ideas across the enterprise
Develop mitigation strategies and countermeasures to address vulnerabilities of networks, products, and services
Evaluate methods, tools, and techniques that can be used to secure information/communication systems and the facilities that house them
Analyze data using mathematical/statistical methods
Analyze problems to determine technical solutions
Apply mathematical or computational methods and lines of reasoning
Evaluate technical proposals and solution designs
Identify new applications of known techniques
Identify vulnerabilities to attack communications networks and systems and developing countermeasures
Perform security analysis, evaluation and guidance on the design and implementation of cryptographic and communication protocols
Apply concepts and principles of computer security and vulnerability analysis
Work individually or as part of a team and may serve as a team lead


 Basic Qualifications:

Bachelor’s degree in Computer Science, Engineering, or Computer Engineering and 3 years of experience

Or a Master’s degree in computer science, Engineering, or Computer Engineering and 1 year of experience
In lieu of a degree, a total of 8 years of relevant experience



 Security Clearance Requirements:

Current and active TS/SCI with polygraph


 Physical Requirements:

Must be able to remain in a stationary position 50%.
Constantly operates a computer and other office productivity machinery, such as a calculator, copy machine and computer printer.
The person in this position frequently communicates with co-workers, management and customers, which may involve delivering presentations.


For all positions requiring access to technology/software source code that is subject to export control laws, employment with the company is contingent on either verifying U.S.-person status or obtaining any necessary license. The applicant will be required to answer certain questions for export control purposes, and that information will be reviewed by compliance personnel to ensure compliance with federal law. ManTech may choose not to apply for a license for such individuals whose access to export-controlled technology or software source code may require authorization and may decline to proceed with an applicant on that basis alone.

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.
&nbsp;",
QA Specialist/Data Analyst,Catholic Guardian Services,"Bronx, NY","$65,000 - $68,250 a year -  Full-time","Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in Tableau?YesNoEducationDo you have a Bachelor's degree?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.Pay$65,000 - $68,250 a yearJob typeFull-timeShift and schedule8 hour shift&nbsp;LocationBronx, NY&nbsp;BenefitsPulled from the full job description401(k)403(b)AD&D insuranceDental insuranceDisability insuranceEmployee assistance programFlexible spending accountShow morechevron down&nbsp;Full job descriptionAre you a Case Planner ready to take your skills to the next level? Do you enjoy analyzing data to ensure the highest standards of quality assurance? 
We’re looking for a detail-oriented professional who thrives in a dynamic environment, with a passion for both case planning and data-driven decision-making. Join our team and help us continue to improve outcomes while using your skills to enhance our quality assurance processes.
If you're ready for a new challenge and want to make a meaningful impact, apply today!
We provide help, create hope, and preserve dignity.
As one of the largest human services agencies in New York, we offer a variety of programs and services addressing child welfare, family support, developmental disabilities, immigration, and mental health needs.
www.catholicguardian.org
Job Title: QA Specialist/Data Analyst
Program: UC
Salary: $65,000-$68,250
General Responsibilities:
The QA Specialist/Data Analyst aggregates and provides data reports for the Unaccompanied Children program and conducts routine record reviews to ensure the quality of practice and compliance with all regulations and performance expectations of the Federal Office of Refugee Resettlement (ORR) and the relevant regulations of the New York State Office of Children and Family Services (OCFS).
Required Skills:

Bachelor’s Degree with 2 years of experience in research and analysis, quality assurance, or related area
Proficiency in the use of computer applications; Tableau, Excel
Prior experience with ORR Unaccompanied Children programs a plus.
Covid 19 Vaccine Required

Desired Skills:

Ability to participate in the development and identification of appropriate output metrics;

What do you bring to the table:
You are organized, empathetic, creative, flexible, computer savvy. You believe in our mission and are committed to being a part of our journey towards Justice, Equity, Diversity and Inclusion for both staff and those who participate in our programs.
What do we bring to the table:
A minimum of 15 paid holidays per year, Generous PTO starting at 34 days year one, Medical/Dental/Vision, 403b retirement plan, training/job development and growth opportunities, Tuition Reimbursement, Student Loan Repayment, Life Insurance, STD/LTD, AD&D Insurance, AFLAC, Pet Insurance, a robust Employee Assistance Program with over 8,000 free training classes and additional support, a commitment to Justice, Equity, Diversity and Inclusion thru our JEDI Steering Committee, Credit Union, Tickets At Work, Flexible Spending Accounts – Health/Commuter/Dependent Care
Job Type: Full-time
Pay: $65,000.00 - $68,250.00 per year
Benefits:

401(k)
Dental insurance
Flexible spending account
Health insurance
Paid time off
Tuition reimbursement
Vision insurance
Work from home

Schedule:

8 hour shift

Application Question(s):

CGS is a social services agency and we do NOT have the ability to sponsor employees regardless of the visa type. Will you need a sponsorship of any kind in order to work in the US?

Education:

Bachelor's (Required)

Experience:

Microsoft Excel: 3 years (Required)
Tableau: 3 years (Required)
ORR Unaccompanied Children: 2 years (Required)
Human Services: 2 years (Required)

Ability to Relocate:

Bronx, NY: Relocate before starting work (Required)

Work Location: In person&nbsp;",
PTC Change Analyst,Motion Recruitment,"Fort Worth, TX 76131",Contract,"Profile insightsFind out how your skills align with the job descriptionCertificationsDo you have a valid ITIL Certification certification?YesNoSkillsDo you have experience in Time management?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.Job typeContract&nbsp;LocationFort Worth, TX 76131&nbsp;Full job description
 Our client is the largest freight railroad in the United States in search of an IT Change Analyst.   This opportunity will be a 12 month contract engagement based in the North Fort Worth area. You will have the opportunity to work a hybrid schedule (2 – 3 days onsite).  What You Will Be Doing

Review and processing of all change requests to ensure proper thoroughness, prioritization (risk and impact), scheduling, and compliance with the PTC Change Management Process within the BMC Remedy ITSM Application.
Provide assistance with updating and maintaining Change Management templates, system user access, training users concerning the use of the Change Management tools and processes.
First level support for general change management questions and processing of requests.
Prepare and communicate weekly change broadcasts and communications to the Change community.
Build strong relationships with PTC stakeholders
  Minimum requirements of role

1 year of minimum experience.
Experience with and in-sync with traditional ITSM models as it pertains to IT Change Management.
Fundamental concepts, practices, and procedures of IT Service Management best practices.
Must have basic understanding of information technology principles, and an understanding of mid-tier applications, database, and telecommunications systems.
Ticketing experience with ServiceNow or Remedy (or similar tools).
Strong organizational, communication, and time management skills.
Work independently as well as collaboratively within a team environment.
  Preferred requirements of role

Preference for ITIL certified candidates
Experience applying ITIL centric change management processes and tools to support change request activity from various application, operational, and development support groups.
Experience with Change Management tools such as BMC Remedy or ServiceNow.
Experience with querying information, and developing reports using reporting tools such as Tableau, SAP Business Objects, etc.
General ITIL Configuration Management and Release Management skills are helpful.
Highly desired – Experience with PowerBI report development and report querying skills.
Functional knowledge of a Configuration Management Database (CMDB) as well as conceptual relationship of configuration items.

&nbsp;",
Data Analyst,The University of Pittsburgh,"Pittsburgh, PA",Full-time,"Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in Computer skills?YesNoEducationDo you have a Master's degree?YesNoLanguagesDo you know English?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.Job typeFull-timeShift and scheduleMonday to Friday&nbsp;LocationPittsburgh, PA&nbsp;Full job description

Data Analyst


  Med-Medicine - Pennsylvania-Pittsburgh - (24007298)
 


 Job Summary

Applies scientific methodology to conceptualize, propose, and implement appropriate methodologies for statistical analyses. Maintains and updates centralized research awards database. Assists with grant preparations and clinical trial budgets. Develops and validates reporting data, validates data subsets of funding data, and facilitates quality control procedures to ensure data accuracy.



 Essential Functions

Requires the ability to visualize a computer screen, to work with computer hardware and software, to communicate verbally and in writing, and to use a phone. The candidate must have strong working knowledge of English.



 Physical Effort

Position is mostly sedentary work.



 The University of Pittsburgh is committed to championing all aspects of diversity, equity, inclusion, and accessibility within our community. This commitment is a fundamental value of the University and is crucial in helping us advance our mission, which includes attracting and retaining diverse workforces. We will continue to create and maintain an environment that allows individuals to discover, belong, contribute, and grow, while honoring the experiences, perspectives, and unique identities of all.


 The University of Pittsburgh is an Affirmative Action/Equal Opportunity Employer and values equality of opportunity, human dignity and diversity. EOE, including disability/vets.






 Assignment Category
 Full-time regular
 


 Job Classification
 Staff.Medical Data Scientist I
 


 Job Family
 Research
 


 Job Sub-Family
 Data Science
 


 Campus
 Pittsburgh
 


 Minimum Education Level Required
 Master's Degree
 


 Minimum Years of Experience Required
 No experience required
 


 Will this position accept substitution in lieu of education or experience? 
Combination of education and relevant experience will be considered in lieu of education and/ or experience requirement.
 


 Work Schedule
 Monday - Friday, 8:30 a.m. - 5:00 p.m.
 


 Work Arrangement
 Hybrid: Combination of On-Campus and Remote work as determined by the department.
 


 Hiring Range
 To be determined based on qualifications
 


 Relocation Offered
 Yes
 


 Visa Sponsorship Provided
 Yes
 


 Background Check
 For position finalists, employment with the University will require successful completion of a background check
 


 Child Protection Clearances
 Not Applicable
 


 Required Documents
 Resume
 


 Optional Documents
 Cover Letter
 
&nbsp;",
Sr. Medical Data Analyst,"ABSS Solutions, INC","San Antonio, TX","From $89,594 a year -  Full-time, Contract","Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in Microsoft Outlook?YesNoEducationDo you have a Master's degree?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.PayFrom $89,594 a yearJob typeFull-timeContract&nbsp;LocationSan Antonio, TX&nbsp;BenefitsPulled from the full job description401(k) matchingInternal mobility programPaid holidays&nbsp;Full job descriptionABSS Solutions, Inc. (ASI), is seeking a full-time Senior Medical Data Analyst to join our team in providing Medical Research support to the 59th Medical Wing in San Antonio, Texas. ASI administers a comprehensive research and development contract providing an array of research projects for customers across the DoD space. The ASI team supports clinical and translational research in the areas of emergency medical care, combat casualty care, force health protection, restorative medicine, clinical and rehabilitative medicine and specialty centers. Our research teams work with educational institutions and other third-party organizations to maximize readiness, and resilience for the men and women of our armed forces.
How You Will Make an Impact:As a Senior Medical Data Analyst, you will play a crucial role in analyzing complex datasets to provide valuable insights and support data-driven decision-making processes within the organization. This individual will assist senior level management by providing technical expertise and administrative support impacting plans and operations, compliance, risk and quality management, managed care, human resource management, logistics management, patient administration, budgetary and fiscal management, medical manpower

Responsibilities

Reviews health care delivery plans; identifies market forces, patient and beneficiary demand and other issues impacting MTF capabilities, access and patient care compliance and/or quality of care and services. Projects and studies require analysis of inter-related issues of effectiveness, efficiency, productivity and customer satisfaction during both peacetime and wartime.

Researches and analyzes complex health care operations. Prepares presentations, project papers, staff and biometric reports and other medical administrative correspondence; delivers to senior MTF management.
Uses business intelligence applications to extract, manipulate, format, and from various Government computer systems. May maintain metadata, or design basic databases.
Notifies and directs professional staff and other medical administrative personnel regarding process, policy and requirements.
Using analytical skills and tested methodologies, conducts studies in support of various projects, program, processes, or initiatives covering all aspects of military health care activities. Projects may be complicated by regulatory requirements, long-range projections, and objectives, and/or political and economic uncertainties
Validates and implements MTF policy in support of hospital accreditation program and quality improvement efforts.
Assists with the development of financial plans and budgets to execute health care activities and initiatives. Analyzes utilization of funds in collaboration with MTF management.
Assists with preparations for facility construction, modification and design activities. Researches requirements to ensure an adequate patient care facility as well as a safe work environment.

Required Education and Experience: 

A bachelor's degree in health care administration, business, information management, or a related discipline is required.
Mastery level knowledge of military Medical Services, civilian health care delivery systems, military management health care principles and techniques, TRICARE Managed Health Support contracts and clinical and financial systems, policies, procedures, and standards.
Must have knowledge of DoD, Air Force, Army or Navy and Accreditation Association of Ambulatory Health Care (AAAHC) standards and privacy and confidentiality requirements (HIPAA).
Must have working knowledge of Department of Defense (DoD), Federal, State, non-profit healthcare systems and organizations, to include DoD Tri-Service Military Healthcare Systems, TRICARE purchased care system, Medicare, Medicaid, Veterans Administration (VA), Public Health Department, and Regional and local support services.
Knowledge of medical information systems and automated analytical tools and software (clinical and financial models). Expertise in quantitative and quantitative analyses techniques using various military computer systems.
Knowledge of Microsoft Office programs, Outlook (e-mail), and Internet familiarity is required. This includes various microcomputer equipment, and be able to input, retrieve and format documentation.
Effective communication skills both orally and in writing. Research of operational activities may require coordination with high level officials such as the comptroller, civil engineering, or civilian and federal agencies.
US citizenship required with the ability to pass a favorable T3 security investigation

Preferred Skills & Attributes: 

Master's Degree in health care administration, business, information management or a related discipline.
Must be organized, attentive to detail, and possess a positive, friendly and professional demeanor.

ASI Benefits: 

401K with company match
Comprehensive health and wellness packages
Internal mobility team dedicated to helping you own your career
Rest and recharge with paid vacation and holidays

Job Types: Full-time, Contract
Pay: From $89,594.00 per year
Education:

Master's (Required)

Experience:

Analysis skills: 10 years (Required)

Ability to Commute:

San Antonio, TX (Preferred)

Ability to Relocate:

San Antonio, TX: Relocate before starting work (Preferred)

Work Location: In person&nbsp;",
SR DATA SCIENTIST / DATA ANALYST,"Data and Analytic Solutions, Inc.","Washington, DC 20036","$80 - $110 an hour -  Full-time, Contract","Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in Technical writing?YesNoEducationDo you have a Master's degree?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.Pay$80 - $110 an hourJob typeFull-timeContractShift and scheduleMonday to Friday&nbsp;LocationWashington, DC 20036&nbsp;Full job descriptionWe have an exciting Data Scientist / Data Analyst opportunity on a highly visible project. A broad set of skills are required to design, build, and manage efficient, scalable, and secure data and analytic solutions in the AWS environment. Experienced in developing dashboards within Tableau Server environments, specializing in designing intuitive and user-friendly visualizations. Strong background in SQL and data modeling, with proficiency in Redshift and Postgres databases, as well as expertise in custom SQL programming. You'll gather requirements, analyze complex datasets, develop dashboards and reports, and communicate findings to stakeholders. If you're passionate about using data to drive decision-making in a data production environment and have a consultant mindset, we want to hear from you!
Duties

Collect, analyze, and interpret data to provide insights and support decision-making processes.
Assist in the development and implementation of data collection systems and strategies.
Clean and validate data to ensure accuracy and reliability.
Perform statistical analysis and create dashboard visualizations
Collaborate with cross-functional teams to identify business needs and develop data-driven and analytic solutions.
Provide project status reporting and presentations for product delivery.

Qualifications

Five (5) years’ experience as a data scientist, data analyst, or data engineer
Excellent in Tableau dashboard development within Tableau Server environments
Advanced Python and SQL programming
Deep understanding of AWS environments
Extensive experience developing an analytics layer in AWS Redshift
Experience business analysis and design, data modeling including planning, gathering requirements and documentation
Strong analytical skills to interpret data, identify trends, and generate insights
Strong communication skills
Experience in technical writing and presenting
Experience working with cross-functional teams and leading technical teams
Quick learner, flexible and adaptive
Excellent problem-solving skills and attention to detail
Familiarity with financial market data preferred
Bachelor’s or master’s degree, preferably financial engineering, computer science, math, statistics, finance, economics or related field

Job Types: Full-time, Contract
Pay: $80.00 - $110.00 per hour
Expected hours: 40 per week
Schedule:

Monday to Friday

Application Question(s):

Are you a US citizen or permanent resident? (Required)

Education:

Bachelor's (Required)

Experience:

Python: 3 years (Required)
Tableau within AWS RedShift: 3 years (Required)
SQL and data modeling: 3 years (Required)

Work Location: Hybrid remote in Washington, DC 20036&nbsp;",
Business Analyst,comerica,"8422 Dallas Parkway, Frisco, TX 75034",Full-time,"Profile insightsFind out how your skills align with the job descriptionCertificationsDo you have a valid AWS Certification certification?YesNoSkillsDo you have experience in Visio?YesNoEducationDo you have a High school diploma or GED?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.Job typeFull-timeShift and scheduleMonday to Friday&nbsp;Location8422 Dallas Parkway, Frisco, TX 75034&nbsp;Full job description
Business Analyst
 The Business Analyst will support the full lifecycle of Comerica's products from inception to the complete implementation of the product through various distribution channels. This role will focus on product requirements, customer experience design, deployment planning and product strategies working closely with stakeholders in Technology and the lines of business. This role will also have significant ownership of the ultimate success of assigned product offerings throughout their managed life cycle. This role will create and maintain technical documents including system integration designs. The idea candidate will be organized, eager to learn, be a self-starter and have a proactive approach to work. Candidates should be able to clearly articulate the technical needs on paper and in verbal conversations at many levels of technical understanding.

 Position Responsibilities:
 Delivery Excellence

Understands and supports the strategic management of the overall Product program, ensuring that release schedules are met and risks managed.
Participates in a collaborative, dynamic Product planning efforts that align with Comerica and Technology strategies and provides the best value and outcome for the investment.
With the delivery team, assists in developing structured development plans that drive Product releases from inception through delivery.
Working with the technical team and the business Product Owner, the Product Analyst IV supports driving a Release and Iteration Plan based on the Backlog.
Consistently exercise independent judgment and discretion in matters of budget, scope and schedules with management oversight.

Strategic Thinking

Works with stakeholders to understand product offerings.
Monitors current market, and competitive trends to identify opportunities for growth.
Supports new product ideation activities and processes.
Maintains awareness of Technology strategies and direction to assure the alignment of the product's technologies.
Works with delivery teams on new product offerings and oversee flow of set up processes.
Drives appropriate level of development and operational support throughout a product's phases in the maturity life cycle: introduction, growth, maturity, decline.

Collaboration

Works in collaboration with multi-disciplinary teams including security, risk/compliance, architecture, operations and others.
Works together with all team members, including business partners, focusing on promoting effective communication with related teams and producing quality work, in line with the overall Product vision.
Actively participates in the Product Development community, sharing and re-applying skills and knowledge and bringing in best practice.

 Position Qualifications:

Bachelor's Degree or High School Diploma or GED and 8 years of Technology experience
4 years of Technology experience
4 years of experience leading medium to large size Technology projects
This position is not eligible for sponsorship. Must have indefinite employment authorization.

Preferred Qualifications

AWS Certification
Proficiency in Excel and Visio


 Work Best Category: Category C - Days in the office will either be designated days or will vary week to week from 2-5 days
 

 Hours: 8:00am - 5:00pm Monday - Friday
 

 Salary: To Be Determined Based on Individual Experience
&nbsp;",
Entry-Level Business Analyst,Upen Group Inc,"Upen Group Inc in Irving, TX 75038","$40,000 - $60,000 a year -  Contract","Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in Organizational skills?YesNoEducationDo you have a Bachelor's degree?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.Pay$40,000 - $60,000 a yearJob typeContractShift and schedule8 hour shift&nbsp;LocationUpen Group Inc in Irving, TX 75038&nbsp;Full job descriptionEntry-Level Business Analyst 
Job Overview:
Upen Group is a recruiting agency that connects vendors and clients. We are looking for an Entry-Level Business Analyst to help analyze and improve business processes. This is a great role for someone starting their career in business analysis, eager to work with clients and vendors.
What You’ll Do:

Help gather and document business requirements from clients and vendors.


Assist in analyzing business processes and suggesting improvements.


Support project managers in ensuring that project goals and deadlines are met.


Communicate effectively with clients, vendors, and internal teams to keep projects on track.


Maintain project documentation, reports, and presentations.

What You Need:

Bachelor’s degree in Business Administration, Economics, Information Systems, or a related field.


Strong organizational skills and attention to detail.


Good communication skills to work with both clients and internal teams.


Ability to manage multiple tasks and stay organized.


Must be a U.S. citizen or Green Card holder.

Job Type: Contract
Pay: $40,000.00 - $60,000.00 per year
Schedule:

8 hour shift

Work Location: Hybrid remote in Irving, TX 75038&nbsp;",
