Job Title,Company,Location,Salary,Description,Link
Data Center Engineering Subject Matter Expert (SME) (Intelligence Center),The MITRE Corporation,"Chantilly, VA",Full-time,"Profile insightsFind out how your skills align with the job descriptionLicensesDo you have a valid Top Secret Clearance license?YesNoSkillsDo you have experience in IT?YesNoEducationDo you have a Master's degree?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationChantilly, VA&nbsp;Full job description
Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. MITRE is different from most technology companies. We are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. The R&D centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. We're making a difference every day—working for a safer, healthier, and more secure nation and world. Our workplace reflects our values. We offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. If this sounds like the choice you want to make, then choose MITRE—and make a difference with us.

The MITRE Space Intelligence Systems Department is looking for a Data Center Engineering Subject Matter Expert (SME) who wants to drive innovative solutions, thought leadership, and evidence-based recommendations so the Intelligence Community (IC) can deliver the benefits and services our Mission Partners depend on to make a positive impact in the world.

 Roles & Responsibilities:

Development of program and technical Strategy and Execution for the following:
Information technology system configuration and architecture Subject Matter Expertise as well as familiarity with technical process, implementation and documentation support the Data Center Management Division as it conducts future forecasting analysis, modernizes the technical processes to conduct modern data center ops and long-term strategic planning.
Technical expertise and cross Directorate coordination and schedule of TEMS as Data Center Management Division implements strategic plans to transform data center ops and procedures.
Special emphasis on technical analysis of IT architecture requirements supporting data center fit out and the migration of mission and COMM systems from legacy data to new modern data center offerings.
Codification and documentation of the technical processes and implementation plans to support the stand up of data centers and the migration of systems into data centers.
Data analysis of architectures supporting systems operating in data centers
Development of technical engineering reports geared for both technical and non-technical audiences / decision makers.


 Basic Qualifications:

Top Secret/SCI clearance and possess or be willing to obtain a polygraph.
Typically requires a minimum of 8 years of related experience with a Bachelor’s degree; or 6 years and a Master’s degree; or a PhD with 3 years’ experience; or equivalent combination of related education and work experience.
Experience with Data analysis of architectures supporting systems operating in data centers
Strong understanding of information technology system configuration and architecture
Excellent written and verbal communication skills.
This position requires an on-site requirement of 5 days a week on-site.


 Preferred Qualifications: 

Active Top Secret/SCI with Polygraph (highly desired).
Degree in Computer Science, Information Systems, Data Science, or a technical equivalent
Knowledge of current Commercial Cloud and Data Center technologies and practices.
A working understanding of space systems and how they interact with ground systems.


 This requisition requires the candidate to have a minimum of the following clearance(s): Top Secret/SCI
 
 This requisition requires the hired candidate to have or obtain, within one year from the date of hire, the following clearance(s): Top Secret/SCI/Polygraph
 
 Work Location Type: Onsite
 
MITRE is proud to be an equal opportunity employer. MITRE recruits, employs, trains, compensates, and promotes regardless of age; ancestry; color; family medical or genetic information; gender identity and expression; marital, military, or veteran status; national and ethnic origin; physical or mental disability; political affiliation; pregnancy; race; religion; sex; sexual orientation; and any other protected characteristics. For further information please visit the Equal Employment Opportunity Commission website EEO is the Law Poster and Pay Transparency.

MITRE intends to maintain a website that is fully accessible to all individuals. If you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of MITRE’s employment process, please email recruitinghelp@mitre.org.

Copyright © 2024, The MITRE Corporation. All rights reserved. MITRE is a registered trademark of The MITRE Corporation. Material on this site may be copied and distributed with permission only. Benefits information may be found here
&nbsp;",
Data Analyst,Go Intellects Inc,"Go Intellects Inc in Washington, DC 20001",Up to $50 an hour -  Contract,"Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in SharePoint?YesNoEducationDo you have a Bachelor's degree?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.PayUp to $50 an hourJob typeContract&nbsp;LocationGo Intellects Inc in Washington, DC 20001&nbsp;Full job descriptionComplete Description:
Responsibilities:

Gathering and understanding agency case management data for effective visualization and analysis.
Collaborating with data stewards and analysts to acquire, clean, and transform data for reporting purposes through the implementation of a business intelligence database.
Ensuring data security and compliance meets with District policy.
Analyzing information and statistical data to prepare reports and studies for use by OHR staff.
Leveraging MS Power BI for an active enterprise-wide case management data migration effort.
Designing and developing MS Power BI reports and dashboards to meet the business stakeholders’ needs and integrating the reports in agency applications including the OHR Case Management System (CMS) and SharePoint.
Providing training and support to end users on using MS Power BI and SharePoint.
Keeping up to date with the latest MS Power BI and SharePoint features and trends.

Minimum Education/Certification Requirements:Bachelor’s degree in computer science, data science, or related field or equivalent experience.
Job Type: Contract
Pay: Up to $50.00 per hour
Expected hours: 40 per week
Work Location: In person&nbsp;",
Not Available,Not Available,Not Available,Not Available,Not Available,
Data Analyst,Seismic,Not Available,"$61,200 - $105,500 a year","Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in Tableau?YesNoEducationDo you have a Bachelor's degree?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.Pay$61,200 - $105,500 a year&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job description401(k)401(k) matchingDisability insuranceHealth insuranceHealth savings accountLife insurancePaid holidaysShow morechevron down&nbsp;Full job description

Please be aware we have noticed an increase in hiring scams potentially targeting Seismic candidates. Read our full statement on our Career's page.
 Seismic, a rapidly growing Forbes Cloud 100 company, is the global leader in enablement, helping make sales teams better by becoming more productive and engaging with buyers in a compelling way. Seismic's platform provides continuous guidance to improve behavior, content, and skills to win more deals and deliver better experiences. Nearly 2,000 organizations including IBM and American Express have made Seismic their enablement platform of choice. Seismic integrates with business-critical platforms including Microsoft, Salesforce, Google and Adobe. Seismic is headquartered in San Diego, with offices across North America, Europe, Australia and China.
Seismic is committed to building an inclusive workplace that ignites growth for our employees and creates a culture of belonging that allows all employees to be seen and valued for who they are. Learn more about DEI at Seismic here.

 Who you are:
We are seeking a talented and driven Data Analyst to join our Corporate Data & Analytics team at Seismic. This role is integral to our mission of harnessing data to drive strategic decisions and optimize business operations. The successful candidate will be responsible for developing Tableau dashboards, conducting detailed analyses, and leveraging their knowledge of SaaS GTM strategies to provide actionable insights to Revenue Operations.
 What you will be doing:

Tableau Dashboard Development: Design, develop, and maintain enterprise-grade Tableau dashboards to visualize key metrics and support decision-making processes across the organization.


Detailed Analysis: Conduct in-depth data analysis to uncover trends, identify opportunities for improvement, and provide actionable insights to various stakeholders.


Revenue Operations Knowledge: Utilize a deep understanding of Revenue Operations to analyze sales and revenue data, optimize processes, and support strategic initiatives.


Collaboration: Work closely with cross-functional teams including Sales Operations, Customer Success Ops and Finance to ensure data accuracy and alignment with business goals.


Data Integrity: Ensure the accuracy, consistency, and reliability of data by performing regular audits and validations.


Continuous Improvement: Stay current with industry trends and best practices in data analytics and visualization to continually enhance the quality of analysis and reporting.

What you bring to the team:

Bachelor's degree in Economics, Business Statistics, Data Science, Computer Science, or a related field.


3+ years of experience in data analysis, with a focus on Tableau dashboard and data source development.


Strong knowledge of Revenue Operations and experience working with sales and revenue data, including projects around sales team attainment, pipeline progression, professional services, and/or renewals


Salesforce experience required.


Proficiency in SQL or experience in Snowflake is a plus.


Excellent analytical and problem-solving skills, with a keen attention to detail.


Strong communication and interpersonal skills, with the ability to present complex data insights in a clear and concise manner.


Ability to work independently and as part of a team in a fast-paced environment.

What we have for you:

Take time to rest and recharge with generous time off, paid company holidays and end of year company shutdown.


Medical, dental, vision, employer-paid life insurance and disability benefits


Access to Health Savings Account (HSA) with $1,000 Single/$2,000 annual employer contribution


Access to free paid telemedicine and wellness offers through medical plan


Fertility and family planning benefits with financial assistance for adoption and surrogacy


Paid parental leave and family caregiver leaves


Annual professional development reimbursement


Mental health support with 12 free counseling sessions for you and your family members


401k with annual employer contribution


Equity program and performance-based bonuses


Bring Your Own Device technology stipend


Seismic Cares Program with charitable donation matching


Communities of Belonging (employee resource/affinity groups)


#LI-SM1
#LI-Remote

#LI-SM1
#LI-Remote


 If you are an individual with a disability and would like to request a reasonable accommodation as part of the application or recruiting process, please contact us at talent@seismic.com.
Headquartered in San Diego and with employees across the globe, Seismic is the global leader in sales enablement, backed by firms such as Permira, Ameriprise Financial, EDBI, Lightspeed Venture Partners, and T. Rowe Price. Seismic also recently expanded its team and product portfolio with the acquisition of Percolate, Grapevine6, and Lessonly. Our board of directors is composed of several industry luminaries including John Thompson, former Chairman of the Board for Microsoft.
Seismic is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to gender, age, race, religion, or any other classification which is protected by applicable law.
 Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.

&nbsp;",
Data Analyst - In House,100Insure,"100Insure in Saint Petersburg, FL 33701","$70,000 - $110,000 a year -  Permanent, Full-time","Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in SQL?YesNoEducationDo you have a High school diploma or GED?YesNoLanguagesDo you know English?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.Pay$70,000 - $110,000 a yearJob typeFull-timePermanentShift and scheduleMonday to Friday&nbsp;Location100Insure in Saint Petersburg, FL 33701&nbsp;BenefitsPulled from the full job description401(k)401(k) matchingDental insuranceHealth insuranceLife insurancePaid time off&nbsp;Full job descriptionAbout us
100Insure is a Medicare Marketing company. We’re a group that works hard and demands excellence. We’re located in downtown Saint Petersburg. We have extensive experience at senior levels of the company in BI, IT, sales, and direct response marketing.
The Job
We want to hire you if you desire to be a leader in business intelligence and data analysis. We’re in the health insurance space and are looking for another bright mind to help us turn the lights on in our business.
We need you to help disrupt the health insurance industry and help regular people every day. That means making data-driven decisions. We innovate, collaborate, and challenge each other.
You are a good fit for us if you can see the big picture and also understand the details. We want fresh thinking and eagerness to work with others while blazing your own trail and bringing your own ideas.
You will fit in well if you can learn our processes, come up with ideas, understand the data, and find the patterns and trends needed to make a positive change.
This is an in-house position.
The Role

Create SQL queries to pull complex datasets from relational databases like MySQL and data warehouses like Amazon Redshift.
Build and analyze reports in PowerBI using DAX and PowerQuery.
Learn business process and perform analysis on those processes.
Meet with end-users on report requests.
Create visuals that quickly paint a picture for the business that all users can understand.
Frame data in a way that gets the point across.
Work with the business to identify trends and changes and come up with ways to optimize.
You’ll need to understand we’re still a startup. That means a lot of fast paced, change of direction decisions. Your ability to pivot is important.
You’ll need to be part of the team, celebrating your unique skills and talents but understanding you have a role to play on the team. No more. No less.

Job Types: Full-time, Permanent
Pay: $70,000.00 - $110,000.00 per year
Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off

Schedule:

Monday to Friday

Experience:

SQL: 2 years (Required)
analysis: 2 years (Required)
Power BI: 2 years (Preferred)

Language:

English Fluently (Required)

Ability to Commute:

Saint Petersburg, FL 33701 (Required)

Work Location: In person&nbsp;",
Electrical Analyst,United States Steel,"Gary, IN",Full-time,"Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in Preventative maintenance?YesNoEducationDo you have a High school diploma or GED?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.Job typeFull-timeShift and scheduleOvertimeWeekends as neededRotating weekends+ show more&nbsp;LocationGary, IN&nbsp;BenefitsPulled from the full job description401(k)401(k) matchingDental insuranceEmployee assistance programHealth insuranceLeadership training providedLife insuranceShow morechevron down&nbsp;Full job descriptionU.S. Steel is committed to fostering an inclusive workplace culture and celebrate the diversity of our employees.
This position is an Analyst as part of our Reliability Centered Maintenance – Manufacturing Excellence area.
Requirements: 

Associates' degree in Electrical Engineering (or similar degree) or 2 years equivalent work experience and HS Diploma/GED
Experience with electrical environment using electrical testing and monitoring equipment to analyze/troubleshoot electrical systems.
Use of predictive and preventative maintenance techniques.
Ability to collect and analyze data in order to assess system health for a variety of equipment.
Comfortable providing solutions to management within operating departments throughout the plant.
Ability to work in areas requiring a respirator or SCBA.
Ability to walk up/down varying flights of stairs.
Ability to climb ladders for one level to another.
Ability to work at elevations requiring use of fall protection.
Strong computer skills and ability to generate professional reports.
Strong communication skills, both verbal and written.
Requires working holidays, weekends, evenings, and overtime as needed.

Competency Summary
At U. S. Steel all employees are expected to display the following core competencies every day to advance corporate, team and individual goals:
Think: Think Critically and Drive ChangeLead: Develop Talent and CollaborateDo: Empower Performance and Deliver Results
Company Overview
Since 1901, U. S. Steel has been a recognized leader in steel production. Today, as the first North American steel company to have declared a 2050 net-zero greenhouse gas emissions goal, we remain as innovative as ever, leading transformation across our industry while continuing to make products for everyday life - from industries as far ranging as automotive, construction, containers and packaging, appliances, and energy.
We show pride in our communities with community partnerships, corporate charitable contributions, company-sponsored employee volunteer initiatives, leadership training, and much more. And of course, we have a steadfast commitment to safety first in our workplaces and respect for our employees, who are United by Steel.
We are honored to have earned accolades and awards from well-regarded organizations, including the following:

Newsweek’s Top 100 Most Loved Workplaces® 2021, ’22, ‘23
Human Rights Campaign Foundation’s Equality 100 Award 2020, ’21,’22, ‘23
Disability:IN’s Best Places to Work for Disability Inclusion 2021, ’22, ‘23
Ethisphere’s World’s Most Ethical Companies® 2022, ‘23
Military Times’ Best for Vets: Employers 2023
Mansfield Certification for progressing Diversity, Equality, and Inclusion in Legal Department: 2023

Conducting business with integrity and with the highest ethical values has underpinned U. S. Steel’s success for over 100 years, and it remains critical to our company’s success in the future. U. S. Steel is an Equal Opportunity Employer. It is our policy to provide equal employment opportunity (EEO) according to job qualifications without discrimination on the basis of race, color, religion, ancestry, national origin, age, genetics, sexual orientation, sex, gender identity, disability status or status as a protected Veteran or any other legally protected group status. (California residents may visit www.ussteel.com/CANotice regarding collection of personal information and U. S. Steel's privacy practices.)
Job Type: Full-time
Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Health insurance
Life insurance
Paid time off
Parental leave
Vision insurance

Schedule:

Overtime
Rotating shift
Weekends as needed

Work Location: In person&nbsp;",
Land Data Analyst,Phoenix Capital Group,"5949 Sherry Lane, Dallas, TX 75225","From $50,000 a year -  Full-time","Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in Organizational skills?YesNoEducationDo you have a Associate's degree?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.PayFrom $50,000 a yearJob typeFull-timeShift and schedule8 hour shiftMonday to Friday&nbsp;Location5949 Sherry Lane, Dallas, TX 75225&nbsp;Full job descriptionJob Summary:
The Land Data Analyst at Phoenix Capital Group will play a crucial role in entering and maintaining accurate and up-to-date data within our organization. The Land Data Analyst will work closely with the Land department on collecting data and entering into the company’s internal software. This role requires strong attention to detail, excellent organizational skills, and the ability to manage multiple priorities in a fast-paced environment. The ideal candidate will have experience in data management and a commitment to maintaining the integrity and confidentiality of company data.
Responsibilities:

Verify the accuracy and completeness of data being entered into databases and systems.
Maintain and update databases regularly, ensuring data integrity and consistency.
Implement and monitor quality control procedures to identify and correct data entry errors.
Work in proprietary database to update records and input new records
Execute special projects to capture required industry information`
Utilize internal land databases and external resources (State Oil & Gas Commissions, Federal BLM MLRS system, County Clerk website)
Generate reports from the database as needed, ensuring data is accurate and timely.
Assist Landmen in land-related projects, including advanced data entry and oil & gas lease examinations
The above information is subject to updates and/or changes as business dictates.

Skills:

Highly organized, motivated and detail-oriented
Ability to meet deadlines
Willingness to learn a new industry
Eager to learn and grow within the role
Think creatively and demonstrate a natural curiosity
Capable of thinking outside the box
Knowledgeable in basic oil & gas terminology

Requirements:

Proficient with Microsoft Office Suite (Word, Excel, PowerPoint)

Education:
· Associates Degree preferred
Job Type: Full-time
Pay: From $50,000.00 per year
Schedule:

8 hour shift
Monday to Friday

Experience:

Microsoft Excel: 1 year (Preferred)

Ability to Commute:

Dallas, TX 75225 (Required)

Ability to Relocate:

Dallas, TX 75225: Relocate before starting work (Required)

Work Location: In person&nbsp;",
Sr. Data Analyst,Horizontal Talent,"Horizontal Talent in Greenwood Village, CO 80111",$70 - $80 an hour -  Contract,"Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in SQL?YesNoEducationDo you have a Bachelor's degree?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.Pay$70 - $80 an hourJob typeContract&nbsp;LocationHorizontal Talent in Greenwood Village, CO 80111&nbsp;Full job descriptionJob Title: Data Analyst - AWS Cloud Data TransformationLocation: Hybrid - Greenwood Village, CO (2 Days onsite)Contract: 6+ months (Possible extension or conversion)
W2 ONLY
Job Summary:We are looking for a Data Analyst with 7+ years of experience in business process mapping, data modeling, and AWS Cloud environments. The role involves translating business needs into data models, defining data transformation rules, and ensuring data quality in a financial domain.
Key Responsibilities:

Collaborate with business stakeholders to understand financial domain processes.
Develop comprehensive data models for AWS Cloud data lakehouse architecture.
Define and document data transformation rules and ensure data quality.
Extract and analyze complex data relationships from operational system models.

Required Skills:

5+ years in data analysis, focusing on business process mapping and data modeling.
Experience with AWS Cloud services and data lakehouse architecture.
Strong understanding of financial business processes.
Proficiency in SQL and data modeling tools (ERwin, PowerDesigner).
Bachelor's degree required.

Job Type: Contract
Pay: $70.00 - $80.00 per hour
Expected hours: 40 per week
Ability to Commute:

Greenwood Village, CO 80111 (Required)

Work Location: Hybrid remote in Greenwood Village, CO 80111&nbsp;",
Junior Data Analyst (Entry Level),"Alliance International CHB, Inc.","147 2nd Avenue South, Saint Petersburg, FL 33701","$55,000 a year -  Full-time","Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in Typing?YesNoEducationDo you have a Associate's degree?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.Pay$55,000 a yearJob typeFull-timeShift and schedule8 hour shift&nbsp;Location147 2nd Avenue South, Saint Petersburg, FL 33701&nbsp;BenefitsPulled from the full job description401(k) matchingDental insuranceHealth insuranceHealth savings accountPaid time offParental leaveVision insurance&nbsp;Full job descriptionThis is NOT a remote position.
Join the best Drawback company and take your career to the next level! We live for data and we offer an environment focused on growth, development and success. We may be tech forward, but we offer the security of a recession-proof industry. Read more below and if you think you're a perfect fit, hit that ""apply"" button.
The Junior Data Analyst's primary role is to facilitate data processing for the Operation’s team via assigned tasks, by priority level with oversight by supervisor, or designated individual. This position will report to the Manager of Drawback Services.
Essential Duties and Responsibilities

High volume electronic file download, maintenance, and document retention via standardized practices
Data keying and data manipulation
Data entry and data integrity processes focusing on organization and accuracy

· Data extract, transform and load procedures that optimize data collection and quality

Ability to understand and apply internal procedures to daily tasks
Perform other duties as requested

Requirements

At least one year experience in data entry or data processing
Associates degree or greater preferred; experience may supersede
Highly proficient in Microsoft Excel
Able to perform repetitive tasks with a high degree of accuracy
Problem solving and critical thinking
Attention to detail and accuracy
Self-motivated and able to contribute individually work well with team members
Maintain expected productivity levels
Advanced typing skills

ONCE AGAIN, THIS IS NOT A REMOTE POSITION.
Job Type: Full-time
Pay: $55,000.00 per year
Benefits:

401(k) matching
Dental insurance
Health insurance
Health savings account
Paid time off
Parental leave
Vision insurance

Schedule:

8 hour shift

Application Question(s):

We are NOT authorized for VISA sponsorship at this time. Will you require sponsorship now, or in the future?

Experience:

Data entry: 1 year (Preferred)

Work Location: In person&nbsp;",
HRIS Analyst,ABARTA Coca-Cola Beverages,"Pittsburgh, PA 15238",Not Available,"Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in VBA?YesNoEducationDo you have a High school diploma or GED?YesNo&nbsp;LocationPittsburgh, PA 15238&nbsp;Full job description
Company: ABARTA Coca-Cola Beverages
Department: HRIS Director
Job Location: 4900 Pitts. Support Center, PA
Other Potential Locations: Pittsburgh HQ, PA; Pittsburgh, PA

We are actively seeking enthusiastic team players who want to work with the world’s most trusted and iconic brands.



 About ABARTA


    ABARTA Coca-Cola Beverages is a family-owned company committed to being a visible, engaged partner to the customers and communities we serve. We value diversity and individuality and when you thrive, we thrive. ABARTA offers the perks of a large corporation with the personalized touch of a smaller company. We are a workplace that encourages sharing ideas in a supportive environment, growing professionally, maintaining a healthy work/life balance, and interacting with all levels of the organization. We would love for you to become a part of our family to help make our vision of Quenching the Thirst of Our Neighbors a reality!
   



 Summary


    ABARTA Coca-Cola Beverages, LLC is seeking to hire an HRIS Analyst who serves as the point of contact to respond to employee and manager inquiries through telephone and email support regarding all HR systems including SAP's Employee Central, EC Payroll, and SuccessFactors. Provides accurate information about modules to resolve employee inquiries and matters on a timely basis, while maintaining a high level of customer service. Escalates time-consuming and complex issues and inquiries to HR leadership.
   



 Responsibilities



Provide day-to-day support to Employee Central users for issues such as badge numbers, workflow and general navigation in all modules.
Partner with CCBSS to resolve associate questions accurately and timely.
Assist teammates with the use of our self-service portal and knowledge base to fulfill future needs independently when practical to do so.
Distribute reports from Employee Central modules (i.e., Learning, Performance, Compensation, Recruiting, EC core).
Collaborate with CCBSS Learning Administrator to maintain and administer Learning Management System and Enable Now.
Work with CCBSS and CONA on open incidents to provide resolution through accurate and timely information to teammates who correspond with the HR Service Center with a wide array of matters.
In conjunction with CCBSS and Cap Gemini team, develop and execute test cases for Onboarding project and additional upcoming mini projects (e.g. Career Paths, Snowflake).
Cross train in Workforce Solutions and Snowflake to ensure coverage and support for other HRIS functions.
Other duties, as assigned.





Qualifications



High School Diploma or GED; Bachelor's degree preferred
Minimum 1-2 years' experience working in HR/data analyst role (additional consideration given to shared service center environment experience)
Proficient skills using HRIS technology including navigation, data changes, and reporting
Proficient with Microsoft Excel including experience creating dynamic reports and pivots, building formulas, task automation using macros and VBA, and managing large datasets.
Excellent written, interpersonal, and verbal communication skills needed to communicate with a wide span of audiences
Demonstrates strong organizational, problem-solving and follow-up skills
Ability to multitask effectively and prioritize work





Additional Information


ABARTA Coca-Cola Beverages, LLC applicants must submit to a background verification process prior to commencing employment with the company. Employment with ABARTA Coca-Cola Beverages, LLC is contingent on a pre-employment background check which may include drug screening, driving records (including minor moving violations) and will be evaluated according to ABARTA Coca-Cola Beverages, LLC guidelines to determine eligibility for this position. ABARTA Coca-Cola Beverages, LLC is an Equal Opportunity Employer Minorites/Women/Veterans/Disable/Sexual Orientation/Gender Identity.
#ABINDSJ




&nbsp;",
