Job Title,Company,Location,Salary,Description,Link
Product Data Analyst,LogicMonitor,"Boston, MA","$76,650 - $105,420 a year","Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in Tableau?YesNoEducationDo you have a Bachelor's degree?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.Pay$76,650 - $105,420 a year&nbsp;Full job description
About Us:
We love going to work and think you should too. Our team is dedicated to trust, customer obsession, agility, and striving to be better everyday. These values serve as the foundation of our culture, guiding our actions and driving us towards excellence. We foster a culture of performance and recognition, allowing us to transform growth as we enable our employees to do the best work of their careers.
 This position is based in Boston, MA. Across the globe, our Centers of Energy serve as hubs where we accelerate productivity and collaboration, inspire creativity, and cultivate a culture of connection and celebration. Our teams coordinate their time in Centers of Energy to reflect how they work best.
LogicMonitor is proud to be an equal opportunity employer. We deeply care about our employees' well-being, fostering an environment where every individual is valued and respected. We celebrate the diversity of our team, and are committed to fostering a culture of inclusivity. Come as you are, be yourself, and let's grow together.
To learn more about life at LogicMonitor, check out our Careers Page.
 What You'll Do:
LM Envision, LogicMonitor's leading hybrid observability platform powered by AI, helps modern enterprises gain operational visibility into and predictability across their IT stacks, so they can continue to deliver extraordinary employee and customer experiences. LogicMonitor has a layered approach to intelligence, where AI and Machine Learning is baked into every facet of the LM Envision platform to help IT teams improve efficiency, minimize alert fatigue, proactively predict trends, and maximize enterprise growth and transformation.
Our customers love LogicMonitor's ability to bring cloud and traditional IT together into one view, as seen in minimal churn rates, expansion business, and exciting new customer references. In fact, LogicMonitor has received the highest Net Promoter Score of any IT Infrastructure Management provider. LogicMonitor also boasts high employee satisfaction. We have been certified as a Great Place To Work®, and named one of BuiltIn's Best Places to Work for the sixth year in a row!
LogicMonitor is looking for a talented and experienced Product Data Analyst to ensure LM's products are successfully launched, adopted, and utilized by both internal teams and customers. You'll gain invaluable experience leveraging data to generate insights that optimize product development, performance, and user experience. Working within the Product Operations team, you'll analyze product usage data to guide product strategy and development.
Collaboration across teams—product, engineering, marketing, sales, and customer experience—is essential to ensure product decisions are data-driven, customer-focused, and aligned with business goals. This role reports directly to the Sr. Director of product Operations and provides plenty of opportunity to make your mark at LogicMonitor.
 Here's a closer look at this key role:

Data Collection & Management: Gather and manage product data from internal and external sources, including user feedback, sales, customer experience data, and usage metrics, ensuring data integrity and availability.
Data Analysis & Insights: Conduct in-depth analysis on product performance, user behavior, and market trends to provide insights and product scorecards that drive product development and feature improvements.
Reporting & Visualization: Develop reports, dashboards, and visualizations to communicate key insights to product management, engineering, and GTM teams.
Product Performance Monitoring: Analyze key product metrics (e.g., user engagement, churn, feature usage) to identify improvement opportunities and deliver actionable recommendations.
Cross-functional Collaboration: Work closely with product managers, UX designers, engineers, and business operations to ensure data-driven decisions throughout the product lifecycle.
User Behavior Analysis: Examine user behavior to identify pain points, optimization opportunities, and areas for growth.
A/B Testing & Experimentation: Design and analyze A/B tests to evaluate the impact of new features or changes, providing data-driven recommendations for continuous improvement.

What You'll Need:

Bachelor's degree in Data Science, Statistics, Computer Science, Business Analytics, or a related field.
2+ years of experience in data analysis, preferably in a SaaS or product-focused environment.
Proficiency in data analysis tools like SQL, Python, R, or Excel.
Experience with data visualization tools such as Tableau, Looker, or Power BI.
Strong knowledge of statistical analysis, A/B testing, and experimentation.
Familiarity with product management methodologies and the software development lifecycle (SDLC); product management experience is a plus.
Excellent problem-solving skills with the ability to turn data into actionable insights.
Strong communication skills for presenting findings to both technical and non-technical stakeholders.
Experience working with large datasets while ensuring data quality and integrity.

Residents of California, click Here to view our California Applicant Privacy Notice.
 Anticipated Application Close Date: 12/09/2024
#LI-JP1 #BI-Hybrid #LI-Hybrid
&nbsp;",
Assoc Technical Consultant II Technical Data Consultant,RT Technologies Inc,"RT Technologies Inc in Richardson, TX 75081",$55 - $70 an hour -  Contract,"Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in Snowflake?YesNoEducationDo you have a High school diploma or GED?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.Pay$55 - $70 an hourJob typeContractShift and scheduleMonday to Friday&nbsp;LocationRT Technologies Inc in Richardson, TX 75081&nbsp;Full job descriptionW2 POSITION ONLY. NO 3RD PARTIES.
Start/End Dates: 11/11/2024 - 1/10/2025
City & State: Richardson, Texas
Duration: 2 Months
Note: On Request from client [if required] ,candidate need to Travel to NC to meet Japan stake holders . No Travel Expenses are paid.
8.5+ yrs of experience is needed.
Job Description:
Technical Data Consultant - Overall technical owner from CLIENT side & Implement technical interface to stake holders systems.
Capture business use cases, and concluding/summarizing the architecture category by category-
Provide technical oversight to Japan team and stakeholders in validating the proposed technical architecture (system, logical, context, physical) for functional and non-functional requirements
Preferred Technology Expertise- AWS S3 and other applicable services, Snowflake, Azure Power BI
Job Type: Contract
Pay: $55.00 - $70.00 per hour
Schedule:

Monday to Friday

Work Location: Hybrid remote in Richardson, TX 75081&nbsp;",
"Associate Business Data Analyst,",Tokio Marine HCC,"Carmel, IN",Full-time,"Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in Visio?YesNoEducationDo you have a Bachelor's degree?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationCarmel, IN&nbsp;BenefitsPulled from the full job description401(k) 6% Match401(k) matchingDental insuranceDisability insuranceFlexible scheduleFree parkingHealth insuranceShow morechevron down&nbsp;Full job description

  Tokio Marine HCC (TMHCC) brings 50 years of service to the specialty insurance industry, today offering over 100 products to commercial customers in 180 countries worldwide. Organic growth and over 60 successful acquisitions have grown our 2022 Gross Written Premium (GWP) to $5 Billion. Our workforce has grown to 4,300 worldwide … big, but not so big that you cannot make a difference. Our Good Company values, including integrity, empowerment, and commitment to customer service, and a culture of innovation, communication, and collaboration make TMHCC a great workplace.
 


  TMHCC Stop Loss, a $2 billion division within TMHCC, leads the way in providing medical stop loss insurance sold to employers. Medical Stop Loss provides an added layer of insurance protection to employers who choose to self-fund their health benefit plans. Self-funding can incur risks from catastrophic claims, and Medical Stop Loss insurance from Tokio Marine HCC is designed to protect employers from that risk.
 


  This is hybrid role located onsite in Carmel, IN
 


  Position Summary:
 

  Identifies, defines, and documents business processes and requirements, data entry, reporting, queries and projects and changes. Ensures the high-quality delivery of new and modified processes and functionality. Is a contact for client questions or concerns, training and education, as well as support to Nurses, Underwriters, BA;s and TPA's .
 


  Key Responsibilities:
 



    Work alongside subject matter experts in a team environment.
   


    Assist in develop and implement short-term plans to improve business processes and workflows for designated area.
   


    Provide various administrative functions as needed provided by management.
   


    Prepare written and verbal presentations that educate and inform on area of responsibility.
   


    Provide daily and monthly reporting, queries and data to OT team
   


    Provide support to gather and document requirements from business team members
   


    Projects coordination and implementation working closely with multiple stakeholders
   


    Conduct detailed analyses to draw conclusions, and develop relevant and insightful recommendations with data and reporting
   


    Document resolution options, go-forward plans, specifications, functionality for training material.
   



  Education, Experience & Knowledge
 



    4 Year / Bachelors Degree in Business Administration, Business Management, Management Information Systems, a related field, or the equivalent education and/or experience
   


    Preferred 2 Years of excel and reporting functionalities
   


    Data entry and workflow experience
   


    Implementation or account management experience is a plus
   


    Understanding of underwriting concepts, practices, and procedure
   


    Proven administration and customer service skills
   


    Skill and ability to read and understand, reports, contracts, and other insurance-related materials
   


    Understanding of underwriting concepts, practices, and procedure is a plus
   


    Proven administration and customer service skills
   


    Effective problem-solving ability and strong analytical skills; can see underlying or hidden problems and patterns; look beyond the obvious
   


    Demonstrated ability to communicate complex technical information in a condensed matter to various audiences verbally and in writing with an emphasis on confidentiality, tact, and diplomacy.
   


    Excellent organizational skills with the ability to prioritize and coordinate work efforts.; demonstrated ability to manage multiple tasks simultaneously;
   


    Insurance or Financial Services experience preferred
   


    Working knowledge of data analysis tools (e.g., SQL, Idea, Power BI, TeamMate Analytics, Acuity and Excel ),
   


    Must have Proficiency and experience using Microsoft Office suite (Excel, Visio, PowerPoint, Project)
   


    Possess and have ability to apply knowledge of principles, practices, and procedures
   



  Tokio Marine offers a competitive salary and benefits package, including:
 



    Generous paid time off (PTO), 12 paid company holidays,
   


    401(k) Retirement Plan with 6% company match.
   


    Health and dental insurance, and vision plan available.
   


    Company-provided long-term disability and life insurance.
   


    Opportunities for advancement in a successful and growing organization.
   


    Flexible work schedules and a great work/life balance.
   


    Paid Parental Leave.
   


    Volunteer Time Off.
   


    Enjoy casual dress and work in a modern, comfortable office with free parking.
   


    Hybrid work schedule
   



  The Tokio Marine HCC Group of Companies offers a successful, dynamic organization experiencing rapid growth and are seeking energetic and confident individuals to join our team of professionals. The Tokio Marine HCC Group of Companies is an equal-opportunity employer. Please visit www.tmhcc.com for more information about our companies.
 


  #LI-CM3
 

  #stoploss1
 
&nbsp;",
Instructional Data Analyst,Santa Maria Joint Union High School District,"2560 Skyway Dr, Santa Maria, CA 93455","$6,164.04 a month","Job detailsHere’s how the job details align with your profile.Pay$6,164.04 a monthShift and schedule8 hour shiftMonday to Friday&nbsp;Full job description









         Openings as of 10/6/2024
        





 Instructional Data Analyst


           JobID: 1176
          




 Position Type: Info/Tech/Instructional Data Analyst


 Date Posted: 9/25/2024


 Location: SMJUHSD-All Sites  


Closing Date:  10/6/24
 12 months/year $6,164.04/month (Step A) Range 34 2023/24 salary schedule  8 hours/day 8:00 a.m. to 5:00 p.m. Monday through Friday
         









&nbsp;",
Data Analyst,CEFCU,"Peoria, IL",Full-time,"Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in Statistics?YesNoEducationDo you have a Master's degree?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationPeoria, IL&nbsp;Full job description

  Are you ready to make the most of your talents and abilities, while helping others make the most of their finances?  Apply to join Team CEFCU!
 


 CEFCU member service team members are critical to the success of the credit union. They provide a professional, knowledgeable, and caring experience when members contact us. We are looking for individuals who are personable, articulate, and positive to add to our already awesome team!

 The Data Analyst is responsible for secondary analysis of existing data as it pertains to the member experience, member behavior, and brand perception and consideration among members/prospective members. Develops analytical strategies to solve business problems, including understanding the problem, identifying relevant data, gathering and summarizing data meaningfully and applying appropriate statistical analysis to identify causal relationships and predict future outcomes. Transforms complex data into compelling, clear communications and stories through graphing, charts and dashboards, utilizing tools such as SAS, PowerPoint or Excel. May also be required to present findings and report to clients and internal executive management.  Hours: Remote - IL Based. Must be able to travel to Peoria, Illinois as needed. Core Hours: 8:00-4:30
 
  Required: 

Bachelor’s degree in Business, Marketing, Market Research, Social Sciences or related field.
Advanced knowledge of statistics and probability.
Proficiency with SAS, SPSS, or similar data manipulation software.
Good oral and written communication skills.
Strong analytical, organizational, and project management skills.
Proficiency in Microsoft Office programs: PowerPoint, Excel, and Word.
Strong customer service skills. Must be service-oriented and provide tailored research and reporting to different groups of users based on their needs in a timely fashion.
Experience with both primary and secondary research.
Broad understanding of a wide range of research methods (quantitative and qualitative) and the appropriate application of these methods.
 Preferred: 

Master’s degree in Business, Marketing, Market Research, Social Sciences or related field.
Proven ability to independently handle projects from start to finish.
Familiarity or experience with Agile project methodology.
Excellent communication skills. Must be able to effectively communicate and present findings.



  It is CEFCU’s policy and intent to provide equal opportunity to all persons without regard to race, color, religion, political affiliation, sex/gender (including gender expression/identity, pregnancy, childbirth and related medical conditions), marital status, registered domestic partner status, sexual orientation, age, ancestry, national origin, veteran status, disability, medical condition, genetic characteristics, and/or any other basis protected by law. This policy covers all facets of employment including, but not limited to: recruitment, selection, placement, promotions, transfers, demotions, terminations, training, and compensation.
 
&nbsp;",
HR Data Analyst,Hearthside Food Solutions,"3333 Finley Road, Downers Grove, IL 60515",Full-time,"Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in Tableau?YesNoEducationDo you have a Bachelor's degree?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;Location3333 Finley Road, Downers Grove, IL 60515&nbsp;Full job descriptionThe HR Data Analyst supports the entire HR function and will be a critical driver behind data integrity, policy development, precision & maintenance, and leveraging technology to elevate operational, business, and people analytics initiatives. Their role will support the Total Rewards Leader in providing business intelligence to the HR function, with a special focus on process optimization and Dayforce configuration enhancements. This role will also be accountable for developing and implementing methodologies to identify trends, providing insights to support data-driven decision-making, tracking metrics for KPI reporting, and evaluating the effectiveness of HR initiatives.  KEY RESPONSIBILITIES / WHAT YOU GET TO DO 

Manage and prioritize reporting and data analysis requests from leadership specific to HR data.
Share existing HR metrics with stakeholders and work towards creating new, relevant reports and dashboards that are easily accessible to leaders, managers and supervisors.
Collaborate with HR, IT, Finance and cross-functional teams to assist in various projects.
Conduct intermediate to advanced data analysis using basic statistical techniques by leveraging Dayforce reporting and analytics.
Develop and present reports, dashboards, and data visualizations to HR and business leaders.
Ensure data integrity and accuracy in all reports and analyses.
Provide insights and recommendations based upon data analysis to support HR initiatives.
Assist in the development and maintenance of data documentation, policies and processes.
Stay updated with the latest trends, technology and best practices in Dayforce, HR analytics and data management.
 KEY COMPETENCIES / WHAT WE WANT FROM YOU 

Strong analytical and problem-solving skills with a keen attention to detail.
Proficiency in data analysis tools such as Excel, Power BI or other statistical software.
Advanced understanding of statistical methods and their application in HR analytics.
Excellent communication skills, both written and verbal, with the ability to present complex data in a clear and concise manner.
Ability to work collaboratively within cross-functional teams and manage multiple workstreams simultaneously.
Strong organizational skills and the ability to prioritize tasks effectively.
A proactive and curious mindset, with a willingness to learn and adapt to new challenges.
Familiarity with data visualization tools such as Tableau or Power BI.
Strong written and verbal communication skills, analytical ability, strategic thinking, and ability to effectively work with all levels of the organization.
Advanced skills in Excel and data visualization in PowerPoint.
 EDUCATION & EXPERIENCE 

Bachelor’s Degree in Human Resources, Business, Statistics, Data Science or a related field.
3+ years of experience with functional HR systems or HRIS experience.
Recent experience with Dayforce is a must.
Food manufacturing industry experience is a plus.
 #LI-EO1 #LI-Hybrid  Founded in 2009 and headquartered in Downers Grove, IL we are a world-class contract manufacturer producing wholesome baked goods, snacks and packaged foods for many of the world’s leading food companies. As one of the largest and fastest growing food co-manufacturing companies in the US, we are the proud owner and operator of over 35 facilities globally. Our nearly 10,000 employee-strong organization is leading the way and setting new standards for quality, safety, flexibility and efficiency while feeding families around the globe. Hearthside’s exceptional growth stems from its ability to address real-world problems for customers of all shapes and sizes, and by our resolute commitment to our belief that there are no great companies without great culture. Our culture of personal empowerment enables growth, learning, and continuous improvement every day! We are steadfast in our ambition to be the indispensable and most trusted partner to our customers and need your help to do it! Join Hearthside and enjoy a competitive package, outstanding benefits and a diverse work environment. Hearthside is an Equal Opportunity Employer.&nbsp;",
Entry-Level Policy Analyst,Sekon,"Rockville, MD 20850",Full-time,"Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in Research?YesNoEducationDo you have a Master's degree?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationRockville, MD 20850&nbsp;Full job description
SeKON is looking for an Entry-Level Policy Analyst to join our talented and innovative team supporting the Health and Human Services (HHS) specifically Health Resources and Services Administration (HRSA). The Health Resources and Services Administration (HRSA), an agency of the U.S. Department of Health and Human Services (HHS) is the primary federal entity responsible for oversight of the Organ Procurement and Transplantation Network (OPTN).

With over 25 years of experience, SeKON specializes in providing large-scale health IT programs in support of federal government customers including the Centers for Disease Control (CDC), Centers for Medicare and Medicaid (CMS), Defense Health Agency (DHA), and National Institutes of Health (NIH). Our vision is “To be the premier management and technology consulting firm providing solutions that improve quality of life and work”.

 RESPONSIBILITIES:

Conduct in-depth research and analysis of existing and proposed public policies.
Investigate the potential legal, social, and economic implications of policies at local, national, and global levels.
Propose evidence-based solutions and recommendations for policy changes or improvements, considering legal and public impact.
Analyze data and trends to predict the outcomes and effectiveness of policy decisions.
Prepare comprehensive reports, policy briefs, and presentations to communicate findings to stakeholders, including lawmakers, government officials, and organizational leaders.
Collaborate with legal teams to understand the legal implications of proposed policy changes.
Assess the broader impact of policy decisions on the public, communities, and various industries.
Stay informed about current legislative developments, policy debates, and emerging issues in public policy.
Engage with key stakeholders, including government agencies, advocacy groups, and the public, to gather diverse perspectives on policy issues.
Provide insights and guidance to influence decision-making and policy development processes.


 REQUIREMENTS:

Bachelor’s degree in Public Policy, Political Science, Law, Economics, or a related field (Master’s degree preferred).
Proven experience as a Public Policy Analyst or in a similar role.
Strong research, analytical, and critical thinking skills, with the ability to interpret complex data and legislation.
Familiarity with legal frameworks, government processes, and policy analysis methodologies.
Excellent communication skills, both written and verbal, with the ability to present complex findings clearly and concisely.
Strong understanding of social, economic, and political factors that influence public policy.
Ability to work independently and collaborate effectively with cross-functional teams and stakeholders.
Experience working with government agencies, think tanks, or advocacy organizations is a plus.


This position is ideal for a detail-oriented individual with a passion for public policy and law, who seeks to shape policies that make a meaningful impact on society.

&nbsp;",
Data Reporting Analyst,Crawford & Company,"Lake Zurich, IL",Full-time,"Profile insightsFind out how your skills align with the job descriptionCertificationsDo you have a valid Certified Employee Benefit Specialist certification?YesNoSkillsDo you have experience in Organizational skills?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;Full job description
 Excellence In Everything We Touch: 
  Position Summary: 
 The Data Reporting Analyst provides internal and external client reports and/or data to meet Broadspire client, carrier, self-insured state regulatory compliance, and internal customer needs. The Data Reporting Analyst generally handles complex accounts or project assignments. Responsibilities: 
 
Work collaboratively with the RMIS, Reporting and Strategic Outcomes Team, department staff, and assigned clients in the design and production of all reports.
Complete reporting assignments accurately and on time, including custom data projects.
Provide superior client support for data questions and requests.
Support RMIS, Reporting and Strategic Outcomes Team in product requirement, design and testing activities.
Provide sales and renewal support via reporting and data services quotes.
Deliver internal data solutions such as Access databases for client reporting inventories, pricing, etc.
Interpret business objectives, assess alternatives and present logical solutions to problems.
Gather and analyze moderately complex facts/data to draw logical inferences from the information.
Prepare management control plans that cover all associate tasks and milestones.
Collaborate with RMIS, Reporting and Strategic Outcomes team members to provide quality outcomes to enhance program and individual performance.
Identify ongoing program inefficiencies and growth opportunities, providing solutions with supporting data.
Provide some training to other RMIS, Reporting and Strategic Outcomes Team members.
Use effective time management with appropriate prioritization of all assigned responsibilities to determine that program functions are executed on time and with the quality expected
Help to achieve departmental revenue target and expense management objectives and communicate opportunities to RMIS, Reporting and Strategic Outcomes management.
 Requirements: 
 
4 year college degree desired or the equivalent in related work experience
CPCU, ARM, AIC, CEBS or similar professional designation preferred
5 or more years of previous directly related professional work experience, preferably in technical RMIS, report design & development, data services, which offered sound knowledge of TPA’s and the insurance industry
Must have good knowledge of Microsoft Office products, Broadspire’s RMIS, applicable legacy systems and report writers
Must be able to interpret adapt to changing technologies.
Strong experience in TPA service, and support functions
Strong claim product and service knowledge
Excellent communication skills (written, verbal and listening) and presentation skills
Excellent problem solving, analytical skills and decision making skills
Strong working knowledge of systems capabilities
Strong organization and negotiation skills
A thorough understanding of risk management business needs and the RMIS development life cycle
Manages own time, activities and resources to accomplish objectives and coordinates those activities to deliver desired results
Strong understanding of Broadspire’s business goals to work collaboratively with internal and external clients to support the achievement of the identified goals
 Physical Requirements: 
 
The physical demands described here are representative of those that must be met by an
 employee to successfully perform the essential functions of this job.

Reasonable accommodations may be made to enable individuals with disabilities to perform
 the essential functions.

Ability to talk and hear.
Ability to see and read.
Reaching and manual dexterity for operating computer keyboard.
The employee is required to extend hands and arms in various directions in order to handle
 files and associated paperwork; use hands/fingers in repetitive motion in keyboard usage; use hands/fingers to efficiently utilize a writing instrument.

Stooping kneeling, crouching, crawling, standing, sitting, walking, pushing, pulling, is relative
 to office files, etc..

Expressing or exchanging ideas by means of the spoken word is required, as well as the
 ability to convey detailed/important instructions in an accurate manner.

Ability to frequently talk or hear on a telephone and receive detailed information through oral
 communication is required.

Exertion up to 20 pounds of force is occasionally required and/or a negligible amount of force
 frequently or constantly to lift, carry, push, pull, or otherwise move objects.

Visual activity requirements are those of Clerical Administrative. This is a minimum standard
 for use with those whose work deals largely with preparing and analyzing data and figures, accounting, computer terminal, extensive reading, operation of machines, and using measurement devices. About Us: 
 Why Crawford?


 Because a claim is more than a number — it’s a person, a child, a friend. It’s anyone who looks to Crawford on their worst days. And by helping to restore their lives, we are helping to restore our community – one claim at a time.
 


 At Crawford, employees are empowered to grow, emboldened to act and inspired to innovate. Our industry-leading team pioneers new solutions for the industries and customers we serve. We’re looking for the next generation of leaders to take this journey with us.
 


 We hail from more than 70 countries and speak dozens of languages, reflecting the global fabric of the audience we serve. Though our reach is vast, we proudly operate as One Crawford: united in purpose, vision and values. Learn more at www.crawco.com.
 


 When you accept a job with Crawford, you become a part of the One Crawford family.
 


Our total compensation plans provide each of our employees with far more than just a great salary
Pay and incentive plans that recognize performance excellence
Benefit programs that empower financial, physical, and mental wellness
Training programs that promote continuous learning and career progression while enhancing job performance
Sustainability programs that give back to the communities in which we live and work
A culture of respect, collaboration, entrepreneurial spirit and inclusion



 Crawford & Company participates in E-Verify and is an Equal Opportunity Employer. M/F/D/V Crawford & Company is not accepting unsolicited assistance from search firms for this employment opportunity. All resumes submitted by search firms to any employee at Crawford via-email, the Internet or in any form and/or method without a valid written Statement of Work in place for this position from Crawford HR/Recruitment will be deemed the sole property of Crawford. No fee will be paid in the event the candidate is hired by Crawford as a result of the referral or through other means.
 
&nbsp;",
Supply Chain Systems Data Analyst,RWD Consulting,"Bethesda, MD",Not Available,"Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in Tableau?YesNoEducationDo you have a Bachelor's degree?YesNoLanguagesDo you know English?YesNo&nbsp;LocationBethesda, MD&nbsp;Full job descriptionThe Supply Chain Systems Data Analyst shall provide the services Medical Logistics & Acquisition Program Management Office.  The Supply Chain Systems Data Analyst will provide the following duties:  Duties:

Develop recommendations for improving database design and data capture mechanisms.
Benchmark and track success metrics to show return on investment and to provide feedback.
Provide department policy guidance and ensuring policies are followed, coordinating significant issues with, and providing technical advice and recommendations to top management officials.
Coach others on understanding, analyzing, and interpreting data and information, and use of supply chain tools; coaches and trains others.
Develop project plans and execute within approved time and budget.
Query large and complex data sets to provide insights and opportunities.
Review deliverables to ensure insights are accurate and actionable.
Performs research and analysis in the development of program or project activities, including program compliance and eligibility, and regulatory issues.
Compiles and analyzes data, makes recommendations on the formulation of policy, procedures, staffing, and organizational changes; conducts surveys and performs research and statistical analysis on administrative, fiscal, personnel, or operational problems.
Research, evaluates, and prepares financial, statistical, demographic, and operational data used in reports, studies, surveys, and analysis; analyzes and prepares, revises, and implements various policies, procedures, rules, and regulations in accordance with sound organizational practices.
Participates in evaluating and reviewing organizations, programs, activities, and functions to assess compliance with laws, regulations, and contract provisions effectiveness of internal controls, and the efficiency, and effectiveness of operating programs.
Plans and support functional area activities for the Logistics Manager. Assures subordinate employees are fully informed of work parameters. The contractor shall manage multiple projects simultaneously.
Serves as a process optimization and visualization architect utilizing programming skills, statistics, machine learning, artificial intelligence, data visualization and critical thinking skills.
Serves as principal consultant for data analysis utilizing statistical techniques while leveraging machine learning and artificial intelligence to speed analytical process and expand analytical capabilities.
Enables a culture of data and evidence-based decision making through leading the development of analytical products and services.
Seek feedback and the impact of deliverables from analytics.
Oversee analytics initiatives from the planning stage to the outcome.
Lead cross-functional projects using advanced data modeling and analysis techniques to discover insights that will guide strategic decisions and uncover optimization opportunities.
Examine, interpret, and report results of analytical initiatives.
Facilitate meetings, prepare high level briefings, and ensure all logistics task and requirement are met.
 Experience & Qualifications:

BA in Data Science or Business Analytics or equivalent experience.
7– 10 years of work experience analyzing and interpreting supply chain data to provide insights of experience using conceptual data analytics to formulate hypotheses, determine assumptions to test, and interpret data / results.
Shall be able to fluently read, write, speak, and understand English.
Be a U.S Citizen
Strong proficiency with Microsoft Office Excel, Tableau, and other products.
Ability to thrive in a fast paced and changing growth environment.
Unwavering professional integrity and the ability to maintain confidentiality of highly sensitive company/employee information.
High level writing, facilitation, problem solving, analytic, and briefing preparation communications/briefing skills, and minute taking skills, and other duties as assigned.
System applications knowledge of all medical logistics operating systems, applications, and tools.
&nbsp;",
Data Analyst II,Mississippi State Personnel Board,"Hinds County, MS","$60,906.98 - $70,000.00 a year -  Full-time","Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in IT?YesNoEducationDo you have a Bachelor's degree?YesNo&nbsp;Job detailsHere’s how the job details align with your profile.Pay$60,906.98 - $70,000.00 a yearJob typeFull-time&nbsp;Full job description


Characteristics of Work


See MSPB Careers for information regarding this classifications


Minimum Qualifications


Typically requires a Bachelor’s Degree and 2-5+ years of IT experience with emphasis in data management.



&nbsp;",
